Price,Year,Mileage,City,State,Vin,Make,Model
10999,2014,23400,Scottsdale, AZ,1FADP3R48EL259786,Ford,Focus
13476,2014,15155,Leavenworth, KS,3FA6P0HD1ER228096,Ford,FusionSE
9749,2014,48942,Albermarle, NC,3FA6P0G72ER208497,Ford,FusionS
13423,2014,23697,Leavenworth, KS,1FA6P0H77E5398881,Ford,FusionSE
12000,2014,20794,Merriam, KS,3FA6P0H76ER291348,Ford,FusionSE
7822,2014,47204,Leavenworth, KS,1FADP3E20EL350524,Ford,FocusSedan
8100,2014,31920,Leavenworth, KS,3FADP4AJ4EM241145,Ford,FiestaSedan
10998,2014,49148,Peoria, AZ,3FA6P0H78ER392357,Ford,FusionSE
12948,2014,40103,Leavenworth, KS,3FA6P0H70ER114651,Ford,FusionSE
8988,2014,24231,Merriam, KS,1FADP3F22EL449697,Ford,FocusSedan
13100,2014,15600,Greensboro, NC,1FA6P0H78E5390823,Ford,FusionSE
12945,2014,34525,Mesa, AZ,3FA6P0G73ER299215,Ford,FusionS
12997,2014,28315,Scottsdale, AZ,3FA6P0HDXER195003,Ford,FusionSE
10300,2014,12141,Leavenworth, KS,3FADP4EJXEM219869,Ford,FiestaHatchback
9875,2014,31360,Leavenworth, KS,1FADP3F23EL374444,Ford,FocusSedan
8956,2014,42771,Leavenworth, KS,1FADP3K29EL391173,Ford,FocusHatchback
10500,2014,24324,Leavenworth, KS,1FADP3F20EL363823,Ford,FocusSedan
12555,2014,74245,Scottsdale, AZ,1FMCU0F70EUA06933,Ford,EscapeS
18397,2014,32701,Phoenix, AZ,3FA6P0RU1ER356434,Ford,FusionTitanium
15830,2014,21507,Phoenix, AZ,1ZVBP8EM2E5300077,Ford,MustangConvertible
18800,2014,13255,Leavenworth, KS,1FMCU0J96EUD77233,Ford,EscapeTitanium
13988,2014,57529,Shawnee, KS,1FMCU0GX4EUC75712,Ford,EscapeSE
13795,2014,88702,Glendale, AZ,3FA6P0LU6ER272389,Ford,FusionSE
14995,2014,36049,Hickory, NC,1FMCU0GX8EUD78888,Ford,EscapeSE
17000,2014,35890,Leavenworth, KS,1FMCU0JX2EUD30957,Ford,EscapeTitanium
15990,2014,44510,Kenly, NC,1FMCU0GXXEUC35764,Ford,EscapeSE
15995,2014,35273,Valdese, NC,1FMCU0GX3EUD69547,Ford,EscapeSE
12975,2014,70959,Burlington, KS,1FMCU0GX9EUD09868,Ford,EscapeSE
16485,2014,34047,Leavenworth, KS,2FMDK3GC3EBB29431,Ford,EdgeSE
14595,2014,53538,Valdese, NC,1FMCU0GX7EUB38957,Ford,EscapeSE
16297,2014,36439,Mesa, AZ,3FA6P0SU2ER329849,Ford,Fusion
16500,2014,29888,Elizabeth City, NC,1FMCU0GX0EUD77959,Ford,EscapeSE
15997,2014,40492,Tucson, AZ,3FA6P0SUXER170336,Ford,Fusion
12500,2014,68529,Charlotte, NC,1FMCU0F73EUA82095,Ford,EscapeS
16442,2014,35398,Hillsborough, NC,1FMCU0GX8EUD14298,Ford,EscapeSE
17499,2014,32244,Leavenworth, KS,1FMCU0JX0EUE50238,Ford,EscapeTitanium
17150,2014,22512,Jacksonville, NC,1FMCU0GX7EUD41136,Ford,EscapeSE
17114,2014,23304,kansas city, KS,1FMCU0G96EUD71407,Ford,EscapeSE
16688,2014,32871,Glendale, AZ,1FMCU0F7XEUA84457,Ford,EscapeS
25204,2014,38712,Nashville, NC,1FTEX1CMXEFC39517,Ford,F-1502WD
27980,2014,16180,Cary, NC,1FTFX1EF2EKE04020,Ford,F-1504WD
17900,2014,70609,Kernersville, NC,1FAHP2F89EG130600,Ford,TaurusLimited
12995,2014,25816,Indian Trail, NC,1FADP3F29EL359558,Ford,FocusSedan
26491,2014,28496,Hillsborough, NC,1FTEW1CM1EFC40140,Ford,F-1502WD
24500,2014,61220,Wilmington, NC,1FM5K8D8XEGA85213,Ford,ExplorerXLT
21325,2014,96220,Raleigh, NC,1FM5K7D8XEGA40993,Ford,ExplorerXLT
25294,2014,43875,Dunn, NC,1FM5K8D87EGB56836,Ford,ExplorerXLT
24987,2014,43665,Dunn, NC,2FMDK4KC2EBA44156,Ford,EdgeLimited
25978,2014,32398,Lumberton, NC,1FTMF1EF4EKD13230,Ford,F-1504WD
24300,2014,56155,Jacksonville, NC,1FM5K7F89EGB68686,Ford,ExplorerLimited
25991,2014,31358,Elizabeth City, NC,1FTFX1CF8EKF42552,Ford,F-1502WD
